tick,approach_w,approach_e,state_w,state_e,grant_w,grant_e
0,0,0,0,0,0,0
1,1,0,0,0,0,0
2,0,1,1,0,1,0
3,1,1,1,1,0,1
4,0,0,2,1,0,1
5,0,1,2,2,0,1
6,0,0,2,2,0,1
7,1,0,2,2,0,1
8,0,0,0,2,0,1
9,0,0,0,0,0,0
10,1,1,0,0,0,0
11,0,0,1,1,1,0
12,0,1,1,1,0,1
13,1,0,2,1,0,1
14,0,0,2,2,0,1
15,0,0,2,2,0,1
16,1,0,2,2,0,1
17,0,1,0,2,0,1
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,1,0,0,0,0,0
21,0,1,1,0,1,0
22,1,1,1,1,0,1
23,0,0,2,1,0,1
24,0,1,2,2,0,1
25,0,0,2,2,0,1
26,1,0,2,2,0,1
27,0,0,0,2,0,1
28,0,0,0,0,0,0
29,1,1,0,0,0,0
30,0,0,1,1,1,0
31,0,1,1,1,0,1
32,1,0,2,1,0,1
33,0,0,2,2,0,1
34,0,0,2,2,0,1
35,1,0,2,2,0,1
36,0,1,0,2,0,1
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,1,0,0,0,0,0
40,0,1,1,0,1,0
41,1,1,1,1,0,1
42,0,0,2,1,0,1
43,0,1,2,2,0,1
44,0,0,2,2,0,1
45,1,0,2,2,0,1
46,0,0,0,2,0,1
47,0,0,0,0,0,0
48,1,1,0,0,0,0
49,0,0,1,1,1,0
50,0,1,1,1,0,1
51,1,0,2,1,0,1
52,0,0,2,2,0,1
53,0,0,2,2,0,1
54,1,0,2,2,0,1
55,0,1,0,2,0,1
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,1,0,0,0,0,0
59,0,1,1,0,1,0
60,1,1,1,1,0,1
61,0,0,2,1,0,1
62,0,1,2,2,0,1
63,0,0,2,2,0,1
64,1,0,2,2,0,1
65,0,0,0,2,0,1
66,0,0,0,0,0,0
67,1,1,0,0,0,0
68,0,0,1,1,1,0
69,0,1,1,1,0,1
70,1,0,2,1,0,1
71,0,0,2,2,0,1
72,0,0,2,2,0,1
73,1,0,2,2,0,1
74,0,1,0,2,0,1
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,1,0,0,0,0,0
78,0,1,1,0,1,0
79,1,1,1,1,0,1
80,0,0,2,1,0,1
81,0,1,2,2,0,1
82,0,0,2,2,0,1
83,1,0,2,2,0,1
84,0,0,0,2,0,1
85,0,0,0,0,0,0
86,1,1,0,0,0,0
87,0,0,1,1,1,0
88,0,1,1,1,0,1
89,1,0,2,1,0,1
90,0,0,2,2,0,1
91,0,0,2,2,0,1
92,1,0,2,2,0,1
93,0,1,0,2,0,1
94,0,0,0,0,0,0
95,0,0,0,0,0,0
96,1,0,0,0,0,0
97,0,1,1,0,1,0
98,1,1,1,1,0,1
99,0,0,2,1,0,1
